ID,Date,Company,Title,Location,Link
850,2023-09-25,Quanti Recruitment,Senior Software Engineer,"Chicago, IL",https://www.linkedin.com/jobs/view/senior-software-engineer-at-quanti-recruitment-3727806692?refId=acv2t9nTstBmGvEM4IwPzA%3D%3D&trackingId=Fkbff4yty5lUr6qy1DZhxA%3D%3D&position=25&pageNum=33&trk=public_jobs_jserp-result_search-card
851,2023-09-25,Quanti Recruitment,Senior Software Engineer,"Chicago, IL",https://www.linkedin.com/jobs/view/senior-software-engineer-at-quanti-recruitment-3727806692?refId=HMZK87ObBNJJvDsLhfQu%2BA%3D%3D&trackingId=gKdEmX3M4ZH6BrfbshJfNw%3D%3D&position=1&pageNum=34&trk=public_jobs_jserp-result_search-card
852,2023-07-22,Global Information Technology,AWS Software Engineer,"Chicago, IL",https://www.linkedin.com/jobs/view/aws-software-engineer-at-global-information-technology-3695177656?refId=HMZK87ObBNJJvDsLhfQu%2BA%3D%3D&trackingId=a9WMRch2U61wGosgEayVNA%3D%3D&position=2&pageNum=34&trk=public_jobs_jserp-result_search-card
853,2023-06-28,Neo Prism Solutions LLC,Test Data Management Engineer,"Riverwoods, IL",https://www.linkedin.com/jobs/view/test-data-management-engineer-at-neo-prism-solutions-llc-3647000721?refId=HMZK87ObBNJJvDsLhfQu%2BA%3D%3D&trackingId=v6wGTrTaahKKdePevNzDDQ%3D%3D&position=3&pageNum=34&trk=public_jobs_jserp-result_search-card
854,2023-10-09,Dice,Security Engineer with Linux,"Chicago, IL",https://www.linkedin.com/jobs/view/security-engineer-with-linux-at-dice-3735931088?refId=HMZK87ObBNJJvDsLhfQu%2BA%3D%3D&trackingId=08e0yLaZ3GuZdlRq9GzZ6Q%3D%3D&position=4&pageNum=34&trk=public_jobs_jserp-result_search-card
855,2023-06-27,Canonical,Software Engineer - Micro/Private/Bare-Metal Cloud,"Chicago, IL",https://www.linkedin.com/jobs/view/software-engineer-micro-private-bare-metal-cloud-at-canonical-3673095295?refId=HMZK87ObBNJJvDsLhfQu%2BA%3D%3D&trackingId=NL%2BL06Q5sKcpLZtZt8EBww%3D%3D&position=5&pageNum=34&trk=public_jobs_jserp-result_search-card
856,2023-06-01,Stellent IT,Software Test Integration Engineer,"Burr Ridge, IL",https://www.linkedin.com/jobs/view/software-test-integration-engineer-at-stellent-it-3644656127?refId=HMZK87ObBNJJvDsLhfQu%2BA%3D%3D&trackingId=%2FscDXt7OYZwX%2FdNQ%2FvXWwA%3D%3D&position=6&pageNum=34&trk=public_jobs_jserp-result_search-card
857,2023-09-28,Shure Incorporated,Mobile Applications (IOS) Intern,"Niles, IL",https://www.linkedin.com/jobs/view/mobile-applications-ios-intern-at-shure-incorporated-3714053909?refId=HMZK87ObBNJJvDsLhfQu%2BA%3D%3D&trackingId=WQlDYLsHf9SPbSSgyAEFag%3D%3D&position=7&pageNum=34&trk=public_jobs_jserp-result_search-card
858,2023-07-09,Motion Recruitment Partners LLC,Full Stack Engineer / Ruby on Rails / Contract,"Chicago, IL",https://www.linkedin.com/jobs/view/full-stack-engineer-ruby-on-rails-contract-at-motion-recruitment-partners-llc-3683407061?refId=HMZK87ObBNJJvDsLhfQu%2BA%3D%3D&trackingId=b07i6R6L0G4QnWN0avte2Q%3D%3D&position=8&pageNum=34&trk=public_jobs_jserp-result_search-card
859,2023-04-02,Intellectt Inc,Hiring : Clinical Statistician :: SAS Programmer,"Des Plaines, IL",https://www.linkedin.com/jobs/view/hiring-clinical-statistician-sas-programmer-at-intellectt-inc-3584721407?refId=HMZK87ObBNJJvDsLhfQu%2BA%3D%3D&trackingId=NejfS7OJ5e1CIp747FxynA%3D%3D&position=9&pageNum=34&trk=public_jobs_jserp-result_search-card
860,2023-08-10,Sonitalent Corp,"Web Developer -- Chicago, IL. (onsite)","Chicago, IL",https://www.linkedin.com/jobs/view/web-developer-chicago-il-onsite-at-sonitalent-corp-3688739614?refId=HMZK87ObBNJJvDsLhfQu%2BA%3D%3D&trackingId=3a4Lo9QhkM6KWzQyiSZFJg%3D%3D&position=10&pageNum=34&trk=public_jobs_jserp-result_search-card
