ID,Date,Company,Title,Location,Link
123,2023-03-28,MoTek Technologies,Data Scientist,"San Francisco, CA",https://www.linkedin.com/jobs/view/data-scientist-at-motek-technologies-3576840056?refId=Tt1ybKqcdQqMeR3zuCzcrw%3D%3D&trackingId=YL7UH5QLbJ9FSdyt2z4H%2Fw%3D%3D&position=24&pageNum=4&trk=public_jobs_jserp-result_search-card
124,2023-03-28,MoTek Technologies,Data Scientist,"Menlo Park, CA",https://www.linkedin.com/jobs/view/data-scientist-at-motek-technologies-3576842279?refId=Tt1ybKqcdQqMeR3zuCzcrw%3D%3D&trackingId=Y9uBNqbsoe00jgDq%2BnZ8AQ%3D%3D&position=25&pageNum=4&trk=public_jobs_jserp-result_search-card
125,2023-03-28,MoTek Technologies,Data Scientist,"San Francisco, CA",https://www.linkedin.com/jobs/view/data-scientist-at-motek-technologies-3576837962?refId=SxbGBDAyCNDRA4nC0oxzHg%3D%3D&trackingId=Ehfxz8Bf3CbU%2FJWheFqKWg%3D%3D&position=1&pageNum=5&trk=public_jobs_jserp-result_search-card
126,2023-08-10,Cynet Systems,AI/ML Engineer,"Santa Clara, CA",https://www.linkedin.com/jobs/view/ai-ml-engineer-at-cynet-systems-3685840749?refId=SxbGBDAyCNDRA4nC0oxzHg%3D%3D&trackingId=kRjgFm5CmMWTSfJRrTbznA%3D%3D&position=2&pageNum=5&trk=public_jobs_jserp-result_search-card
127,2023-03-28,MoTek Technologies,Data Scientist,"Campbell, CA",https://www.linkedin.com/jobs/view/data-scientist-at-motek-technologies-3576842127?refId=SxbGBDAyCNDRA4nC0oxzHg%3D%3D&trackingId=P9%2FY5FVLy0FAbQjb7srvSQ%3D%3D&position=3&pageNum=5&trk=public_jobs_jserp-result_search-card
128,2023-03-28,MoTek Technologies,Machine Learning Engineer,"Palo Alto, CA",https://www.linkedin.com/jobs/view/machine-learning-engineer-at-motek-technologies-3576839033?refId=SxbGBDAyCNDRA4nC0oxzHg%3D%3D&trackingId=lGHYG6Bey9Zay673h2BJ6g%3D%3D&position=4&pageNum=5&trk=public_jobs_jserp-result_search-card
129,2023-09-29,Walmart,Senior Data Scientist,"Sunnyvale, CA",https://www.linkedin.com/jobs/view/senior-data-scientist-at-walmart-3579699701?refId=SxbGBDAyCNDRA4nC0oxzHg%3D%3D&trackingId=MlwQr%2F81Nd090yxERmlJaA%3D%3D&position=5&pageNum=5&trk=public_jobs_jserp-result_search-card
130,2023-07-05,InterSources Inc,Data Analytics  Data Scientist,"San Jose, CA",https://www.linkedin.com/jobs/view/data-analytics-%C2%97-data-scientist-at-intersources-inc-3676811797?refId=SxbGBDAyCNDRA4nC0oxzHg%3D%3D&trackingId=ESC5FZJTkTINyHi0tb8Agw%3D%3D&position=6&pageNum=5&trk=public_jobs_jserp-result_search-card
131,2023-03-28,MoTek Technologies,Data Scientist,"San Francisco, CA",https://www.linkedin.com/jobs/view/data-scientist-at-motek-technologies-3576842320?refId=SxbGBDAyCNDRA4nC0oxzHg%3D%3D&trackingId=cU8XJ%2FUXj6wN3kBLKdJltA%3D%3D&position=7&pageNum=5&trk=public_jobs_jserp-result_search-card
132,2023-07-06,Tubi,Senior Machine Learning Engineer,"San Francisco, CA",https://www.linkedin.com/jobs/view/senior-machine-learning-engineer-at-tubi-3590921218?refId=SxbGBDAyCNDRA4nC0oxzHg%3D%3D&trackingId=E4KK%2FbI7pKJoTwXKP45u2w%3D%3D&position=8&pageNum=5&trk=public_jobs_jserp-result_search-card
133,2023-09-26,Zūm,Data Scientist,"Redwood City, CA",https://www.linkedin.com/jobs/view/data-scientist-at-z%C5%ABm-3728668357?refId=SxbGBDAyCNDRA4nC0oxzHg%3D%3D&trackingId=SLBrk4zddqXcKfmqZvkwVw%3D%3D&position=9&pageNum=5&trk=public_jobs_jserp-result_search-card
134,2023-03-28,MoTek Technologies,Data Scientist,"San Francisco, CA",https://www.linkedin.com/jobs/view/data-scientist-at-motek-technologies-3576840275?refId=SxbGBDAyCNDRA4nC0oxzHg%3D%3D&trackingId=28ryzJvwd624rrWTG7d3nQ%3D%3D&position=10&pageNum=5&trk=public_jobs_jserp-result_search-card
135,2023-09-22,Meta,"Marketing Data Scientist, Reality Labs","Burlingame, CA",https://www.linkedin.com/jobs/view/marketing-data-scientist-reality-labs-at-meta-3725769533?refId=SxbGBDAyCNDRA4nC0oxzHg%3D%3D&trackingId=QY8gWn0iJu5I2G5N8P4E2A%3D%3D&position=11&pageNum=5&trk=public_jobs_jserp-result_search-card
136,2023-03-28,MoTek Technologies,Machine Learning Engineer,"Redwood City, CA",https://www.linkedin.com/jobs/view/machine-learning-engineer-at-motek-technologies-3576835684?refId=SxbGBDAyCNDRA4nC0oxzHg%3D%3D&trackingId=lcCDZZKboJ0hIJ78GoTHqQ%3D%3D&position=12&pageNum=5&trk=public_jobs_jserp-result_search-card
